,original,paraphrase
380,"zavezanci, ki poslujejo samo z eno pravno osebo in se ukvarjajo z domačo in umetnostno obrtjo, z rejo perutnine in drugih živali; ti lahko dobiček ugotavljajo na podlagi evidenc, ki jih vodi pravna oseba;","davčni zavezanci, ki poslujejo samo z eno pravno osebo in se ukvarjajo z obrtjo, obrtjo, rejo perutnine in drugih živali; lahko izkazujejo dobiček na podlagi evidenc, ki jih vodi pravna oseba;"
381,"posebej bo popisala gotovino v blagajni, iztržek plačilnih in kreditnih kartic po vrstah ter denarna sredstva na transakcijskem računu;","bo zabeležil gotovino v roki, prihodke od plačilnih in kreditnih kartic po vrsti in gotovini na transakcijski račun;"
382,Pišite nam,Kontaktirajte nas zdaj
383,Iskalnik,iskalnik.
384,Zadnja številka Arhiv revij Naročam revijo Oglaševanje v reviji Naročniški kotiček,Zadnja številka revije Arhiv Naročanje revije Oglaševanje v reviji Oborniški kot
385,Poslovne angele in tvegani kapital,Poslovni angeli in tvegani kapital
386,MOJA EU REGIJA,Moja regija EU
387,Išči po oglasih,Iskanje po oglasih
388,Novosti sistema DDV v nadaljevanju so vidne samo naročnikom!,"Novosti, ki jih prinaša sistem DDV, so vidne samo naročnikom!!"
389,POMEN,O pomembnosti
390,"Pri ponovnem uvozu v Skupnost začasno izvoženega blaga na oplemenitenje zaradi popravila, predelave, obdelave oziroma obnove se kot davčno osnovo ob uvozu uporabi vrednost navedenih storitev in uporabljenega blaga po carinskih predpisih.","V primeru ponovnega uvoza začasno izvoženega blaga v Skupnost za predelavo za popravilo, predelavo, obdelavo ali obnovo se vrednost teh storitev in uporabljenega blaga šteje kot davčna osnova, ki jo določi carinska uprava."
391,"Uvajajo se nekatere knjigovodske dopolnitve in dopolnitve sestavin obrazca za obračun DDV-ja za zavezance, ki dobavljajo oziroma pridobivajo blago znotraj Skupnosti. Pri nabavi blaga v drugi državi članici se v obračunu DDV prikaže kot izstopni in vstopni hkrati.","Za davčne zavezance, ki dobavljajo ali pridobivajo blago znotraj Skupnosti, se uvedejo določeni knjigovodski dodatki in dodatki k obrazcu za obračun DDV. Pri nakupu blaga v drugi državi članici se obračun DDV prikaže hkrati kot izstop in vnos."
392,Administrativne poenostavitve,Upravne poenostavitve
393,Domov,Dom za
394,Pišite nam,Kontaktirajte nas zdaj
395,Brezplačna knjiga,Brezplačna knjiga →
396,cenik - internet,Cenik - internet - internet
397,Denar & Finance,Denar in finance
398,Podjetniške priložnosti,Podjetniške priložnosti
399,"1. Koliko znaša kazen, če vas ustavi policist in v službenem vozilu nimate potnega naloga? Če v službenem vozilu nimate potnega naloga, znaša kazen 100 tisoč tolarjev . Če potni nalog ni izpolnjen po predpisih, pa znaša kazen 50 tisoč tolarjev. 2. Zakaj moramo biti posebej pozorni pri pisanju potnih nalogov? Zato, ker davčni inšpektorji zelo radi preverjajo upravičenost izplačil kilometrin in dnevnic za zaposlene. Običajno se inšpektorji odločajo, da tistih potnih nalogov, ki nimajo prilog, sploh ne gledajo in jih uvrstijo med davčno nepriznane odhodke davčnega zavezanca, hkrati pa izplačilo zaposlenemu prek potnega naloga prekvalificirajo v drug prejemek iz delovnega razmerja.Na tako izplačano plačo pa je treba še naknadno doplačati dohodnino in vse druge prispevke. Poleg tega se običajno zaračunajo na vse skupaj še zamudne obresti , na koncu pa se poda še predlog za sodniku za prekrške. Zavedati se je tudi treba, da je očitna poneverba poslovnih listin osnova za kazensko ovadbo, ki jo prav tako lahko poda davčni inšpektor. 3. Kako pravilno in davčno zadovoljivo obračunati potne stroške? • Vzpostavite ustrezen sistem in nadzor nad obračunavanjem potnih stroškov. • Zagotovite dokazila o opravljenem službenem potovanju (na primer zapisnik sestanka, seminarsko gradivo, sejemske vstopnice in propagandno gradivo s sejma, sklenjene pogodbe, izdani oziroma prejeti računi, računi za cestnine in parkirnine ...) • Čim bolj natančno opišite namen in kraj službenega potovanja. • Redno izplačujte obračunane potne stroške. • Zagotovite potrebne podpise na nalogih za službeno potovanje. • Upoštevajte logično dolžino trajanja službenega potovanja (na primer potni nalog za odhod na sestanek v 100 km oddaljeni kraj naj ne bi trajal 12 ur) in čas službenega potovanja (na primer službeno potovanje za konec tedna je bolj malo verjetno). 4. Ali morajo biti potni nalogi in poročila napisani na predpisanih obrazcih? Ni nujno - važna je vsebina. Torej pomembno je, da vsebinsko zagotavljate vse predpisane podatke, o katerih govorimo ves čas. 5. Katere so najpogostejše napake v zvezi s potnimi nalogi? • Potni nalogi nimajo zaporednih številk . Če se številčijo zaporedno, nekaterih potnih nalogov ponavadi ni. Ta nepravilnost vzbuja sum, da se potni nalogi ne pišejo redno oziroma da se pišejo za nazaj. • Naslov prebivališča zaposlenega na potnem nalogu ni popoln, temveč je naveden samo kraj ali pa sploh ni naveden. Prebivališče mora biti navedeno v celoti (ulica, hišna številka, kraj). • Na potnih nalogih manjka navedba , po čigavem nalogu je zaposleni odšel na službeno potovanje (npr. »po nalogu direktorja«). • Relacija poti ni dovolj natančno določena. Na potnem nalogu morajo biti navedeni vsi postanki, poleg kraja prihoda in odhoda. • Naloga, s katero je odšel zaposleni na službeno pot, na potnih nalogih ni dovolj natančno določena (»obisk sejma« ali »službena pot« ni dovolj).","1. Kakšna je kazen, če vas ustavi policist in v službenem vozilu nimate potnega lista? Če v službenem vozilu nimate potnega lista, znaša kazen 100 tisoč tolarjev. Če potni list ni izpolnjen v skladu s predpisi, znaša kazen 50 tisoč tolarjev. 2. Zakaj moramo biti še posebej previdni pri pisanju potnih nalogov? Ker davčni inšpektorji radi preverjajo upravičenost plačila kilometrine in dnevnic za zaposlene. Običajno se inšpektorji odločijo, da tistih potnih nalogov, ki sploh nimajo priponk, ne bodo obravnavali in jih uvrstili med davčno nepriznane izdatke davčnega zavezanca, hkrati pa bodo plačilo prek naloga za potovanje v drugo plačilo iz delovnega razmerja ponovno opredelili za zaposlenega. Poleg tega se običajno zaračunajo zamudne obresti, na koncu pa se sodniku za prekrške poda predlog. Opozoriti je treba tudi, da je navidezna poneverba poslovnih dokumentov osnova za kazensko ovadbo, ki jo lahko vloži tudi davčni inšpektor. 3. Kako pravilno in fiskalno izračunati potne stroške • vzpostaviti ustrezen sistem in nadzor nad izračunom potnih stroškov. • Predložite dokazilo o opravljenem poslovnem potovanju (npr. zapisnik sestanka, seminarske naloge, sejemske karte in propagandno gradivo s sejma, sklenjena pogodba, ali prejeti računi, izdane cestnine in parkirnine)... • Čim bolj natančno opišite namen in kraj poslovnega potovanja. • Poskrbite, da boste zagotovili potrebne podpise na naročila za poslovna potovanja. • Upoštevajte logično trajanje poslovnega potovanja (na primer, potni nalog za odhod na sestanek 100 km stran ne bi smelo trajati 12 ur) in dolžino poslovnega potovanja (na primer, poslovno potovanje za vikend) je malo verjetno. 4. Ali potni nalogi in poročila morajo biti napisani na predpisanih obrazcih? Ni nujno - vsebina je pomembna. Zato je pomembno, da navedete vse potrebne podatke, o katerih govorimo ves čas. 5. Katere so najpogostejše napake v zvezi s potovalnimi nalogi? • Potni nalogi nimajo zaporednih številk. Če so zaporedno oštevilčeni, nekateri potovalni nalogi običajno niso. Ta nepravilnost povzroča sum, da potni nalogi niso napisani redno ali da so zapisani nazaj. • Naslov zaposlenega na potovalnem nalogu ni popoln, ampak samo kraj je naveden ali sploh ni. Prebivališče mora biti navedeno v celoti (ulica, hišna številka, kraj). • Na potnih nalogih ni nobene navedbe, po katerem vrstnem redu je zaposleni odšel na poslovno potovanje (npr.. ""po nalogu direktorja""). • razmerje poti ni dovolj natančno. na nalogu za potovanje morajo biti poleg kraja prihoda in odhoda navedeni vsi postanki. • Nalog, s katerim je delavec odšel na službeno potovanje, ni dovolj natančno naveden v potnih nalogih ("" obisk sejma ""ali"" poslovno potovanje ""ni dovolj)."
400,Nabavna vrednost,Stroški pridobitve sredstev
401,59.250,59.250.
402,3. Ali je treba obračunati boniteto tudi za uporabo že amortiziranega vozila?,"(3) Ali se bonitetna ocena zahteva tudi za uporabo vozila, ki je že amortizirano?"
403,Ime:,Ime: Ime
404,Domov,Dom za
405,Natisni,Tiskanje za tiskanje
406,brezplačni izvod,brezplačna kopija
407,oglaševanje,oglaševalske storitve
408,Strategija,Strategija za
409,Ljudje,Ljudje so se
410,Urejeno podjetje,Regulirana gospodarska družba
411,Podjetniške priložnosti,Podjetniške priložnosti
412,KAJ PONUJA DRŽAVA,Kaj je država
413,Ogledalo državi,Ogledalo države ogledalo
414,Pretežno uporabno pri prometu blaga med državami članicami in pri uvozu blaga,v glavnem velja za blagovno menjavo med državami članicami in za uvoz blaga
415,"Če želite svoje mnenje o tem članku deliti z drugimi bralci vas vabimo, da svoje mnenje vpišete spodaj.","Če bi radi svoje misli o tem članku delili z drugimi bralci, vas vabimo, da jih komentirate."
416,zadnja sprememba 02.06.2006,zadnja sprememba 02.06.2006
417,podjetje,ime podjetja
418,Podjetnik - direktor,Podjetnik - direktor
419,Poslovne angele in tvegani kapital,Poslovni angeli in tvegani kapital
420,PREDPISI V PRAKSI,Predpisi v praksi
421,Pregled po dejavnostih,Pregled po industriji
422,Zadnja številka Arhiv revij Naročam revijo Oglaševanje v reviji Naročniški kotiček,Zadnja številka revije Arhiv Naročanje revije Oglaševanje v reviji Oborniški kot
423,cenik - revija,Cena - časopis
424,zadnja sprememba 02.06.2006,zadnja sprememba 02.06.2006
425,naročilo revije,Naročite si revijo
426,Strategija,Strategija za
427,SPOZNAJTE ...,"Prosimo, upoštevajte..."
428,Izpis člankov Izpis člankov Izpis člankov Izpis člankov,Kopiranje člankov Kopiranje člankov Kopiranje člankov Kopiranje člankov
429,Predpisi v praksi,Predpisi v praksi
430,PRIHODKI,Prispevki (income)
431,Izredni,izjemen medicinski pripomoček
432,za novo zaposlene delavce in pripravnike,za novo zaposlene delavce in pripravnike
433,Za zaposlene invalidne osebe,Za zaposlene invalidne osebe
434,"Če pravna oseba zaposli v poslovnem letu za nedoločen čas in najmanj za 2 leti pripravnike oziroma druge delavce, ki prvič sklepajo delovno razmerje, in delavce, ki so bili pred sklenitvijo delovnega razmerja najmanj 6 mesecev prijavljeni pri službi za zaposlovanje, si davčno osnovo zmanjša za 30 % izplačanih plač teh zaposlenih.","Če je v poslovnem letu pravna oseba zaposlena za nedoločen čas in vsaj dve leti kot pripravniki ali drugi delavci, ki so prvič zaposleni, in delavci, ki so bili prijavljeni na zavodu za zaposlovanje najmanj šest mesecev pred sklenitvijo delovnega razmerja, zmanjša svojo davčno osnovo za 30% davčne osnove."
435,"Če zasebnik zaposli za nedoločen čas priprav-nika, delavca, ki prvič sklene delovno razmerje, ali delavca, ki je prijavljen pri službi za zaposlovanje, se mu zmanjša davčna osnova za znesek, ki je enak 50 % plače tega delavca.","Če fizična oseba za nedoločen čas zaposli pripravnika, prvega delavca ali delavca, ki je prijavljen na zavodu za zaposlovanje, se njegova davčna osnova zmanjša za znesek, enak 50% njegove plače."
436,"Če pravna oseba zaposluje invalide, se ji davčna osnova zmanjša za znesek, ki je enak 50 % izplačanih plač delavcev.","Če pravna oseba zaposluje invalide, se davčna osnova zmanjša za znesek, ki je enak 50% plač, izplačanih zaposlenim."
437,"Zasebniku invalidu s 100-odstotno telesno okvaro ali gluhonememu, ki ne zaposluje delavcev in mu je na podlagi predpisov priznana lastnost invalidne osebe, se davčna osnova zmanjša za 60 % povprečne enoletne plače zaposlenih v RS v preteklem letu.","zasebniku s 100-odstotno invalidnostjo ali gluhim, ki ne zaposluje nobenega delavca in mu je po zakonu priznan status invalida, se njegova davčna osnova zniža za 60 odstotkov povprečne enoletne plače delavca v Republiki Sloveniji v prejšnjem letu."
438,Revija podjetnik,Revija Podjetnik /
439,kje smo,Kje se nahajamo
440,cenik - pokroviteljstvo,Cenik - patronažno varstvo
441,MOJE PODJETJE,Moja poslovna podjetja
442,Urejeno podjetje,Regulirana gospodarska družba
443,MOJA EU REGIJA,Moja regija EU
444,Ogledalo državi,Ogledalo države ogledalo
445,Servisna stran,Servisna stran
446,Predpisi v praksi,Predpisi v praksi
447,Ključi do uspešne izvršbe,Ključi za uspešno izvedbo
448,"In vaša naloga je, da zberete čim več podatkov o dolžniku. Zavedati se morate, da ne smete vsega prepustiti sodišču, se pravi oddati spisa in čakati, kaj se bo zgodilo. Sodišče ima pasivno vlogo, upnik mora biti ves čas aktiven, s svojimi predlogi mora pravzaprav voditi sodišče. Sodišče samo ne sme narediti nič, česar upnik ni pisno zahteval od sodišča, tudi če ve, kaj bi bilo za upnika bolje. 3. Predlagajte več kot le eno izvršilno sredstvo. Pri tem mislimo na načine povrnitve terjatve iz različnih vrst premoženja dolžnika. Tako lahko predlagate poseg v nepremičnine, premičnine, vrnitev delavca na delovno mesto, povrnitev v prvotno stanje ... Če bi predlagali samo eno izvršilno sredstvo in to v procesu ne bi bilo uspešno, bi naredili veliko napako, saj ne bi mogli poskusiti z drugim izvršilnim sredstvom, ker postopki na sodišču velikokrat tečejo dalj časa, tako da lahko terjatev tudi zastara in novega zahtevka ne bi mogli več vložiti. 4. Dolžnik naj vam bo ves čas ""na očesu"". Zasledujte kaj počne, kako dela, na katera nove dejavnosti prehaja, s kom posluje, in spremljajte njegovo premoženjsko stanje. Iz tega sproti delajte oziroma prilagajajte strategijo za izvršbo. Nadzor stanja naredite najmanj trikrat letno. To je še zlasti pomembno zato, ker lahko kot upnik predlog za izvršbo ves čas dopolnjujete in spreminjate do popolnega poplačila terjatev ali do konca izvršilnega postopka. 5. Vsak upnik mora računati, da bo moral zalagati finančna srestva. Seveda zato, da bo izvršilni postopek sploh potekal, na primer denar za takse, za storitve odvetnikov, za nadaljnje izvršilne stroške, ki jih povzroči dolžnik tudi namenoma, plačati pa jih mora upnik (na primer, stroški za prisilno odpiranje zaprtih prostorov, plačilo za hrambo predmetov, zbiranje obvestil - iz zemljiških knjig in drugih podatkov pri različnih upravljavcih podatkovnih zbirk, v katerih je tudi izkazano dolžnikovo premoženje - na primer glede zaposlitve, rentnih zavarovanj, življenjskih zavarovanj, lastništva osebnih vozil, lastništva nad patenti oziroma prilivi zanje ... 6. Zavedajte se, da mora upnik vestno odgovarjati na obvestila sodišča z določenimi roki. V teh rokih mora odgovoriti, da pridobi določene podatke, na podlagi katerih bo sodišče delalo naprej. Upnik se mora zavedati, da mora obvestiti sodišče glede vsake spremembe imena podjetja, sedeža, preoblikovanja d.o.o. v delniško družbo in drugih podatkov, ki so pomembni, da sodišče pošilja in upnik prejme obvestila, sklepe in podobno. Če to ni zagotovljeno, se utegne zgoditi, da sodišče ne bo ukrepalo.","In vaša naloga je, da zbere čim več informacij o dolžniku. Zavedajte se, da ne smete pustiti vsega sodišču, to je, predložiti spis in počakati na to, kaj se bo zgodilo. Sodišče ima pasivno vlogo, upnik mora biti ves čas aktiven, in s svojimi predlogi mora dejansko voditi sodišče. Sodišče samo ne sme storiti ničesar, kar upnik ni zahteval od sodišča pisno, tudi če ve, kaj bi bilo bolje za upnika. 3. Predlagajte več kot le eno sredstvo izvršbe. Pri tem mislimo na načine izterjave terjatve iz različnih vrst premoženja dolžnika. Tako lahko predlagate poseg v nepremičnine, premičnine, vrnitev delavca na delovno mesto, povrnitev v prvotno stanje... Če bi predlagali samo eno sredstvo izvršbe in to ne bi bilo uspešno v postopku, bi naredili veliko napako, ker ne bi mogli poskusiti drugega načina izvršbe, ker sodni postopek pogosto poteka že dolgo, tako da lahko terjatev tudi zastara in ne bi mogli vložiti novega zahtevka. 4. Dolžnik mora biti ves čas pozoren na vas. Spremljajte, kaj počne, kaj počne, katere nove dejavnosti opravlja, s kom posluje, in spremljajte njegov premoženjski status. Stanje preverite vsaj trikrat na leto. To je še posebej pomembno, ker lahko kot upnik posodabljate in spreminjate predlog izvršbe ves čas do popolnega poplačila terjatev ali do konca izvršilnega postopka. 5. Vsak upnik mora računati na dejstvo, da bo moral zastaviti finančna sredstva. Seveda, da bi izvršilni postopek sploh potekal, na primer, denar za pristojbine, odvetniške honorarje, za dodatne stroške, ki jih je imel dolžnik, vendar jih je upnik tudi namerno plačal (na primer prisilno odprtje zaprtih prostorov, plačilo za hrambo predmetov, zbiranje obvestil - iz zemljiških knjig in drugih podatkov različnih upraviteljev zbirk podatkov, v katerih je prikazano tudi dolžnikovo premoženje - na primer v zvezi z zaposlitvijo, rento, lastništvom življenjskega zavarovanja, lastništvom osebnih vozil ali patenti zanje 6. Zavedajte se, da mora upnik na obvestila sodišča vestno odgovarjati v določenih rokih. V teh rokih mora odgovoriti, da pridobi določene informacije, na podlagi katerih bo sodišče postopalo. Upnik se mora zavedati, da mora sodišče obvestiti o vsaki spremembi imena družbe, statutarnega sedeža, preoblikovanju d.o.o. v družbo z omejeno odgovornostjo in drugih pomembnih informacijah, ki jih sodišče pošlje in upnik prejme obvestila, naročila in tako naprej. Če to ni zagotovljeno, lahko sodišče ne ukrepa."
449,Naslov: *,: naslov *
450,Nazaj,Nazaj v ozadje
451,Prijavi,Prijava v storitev
452,© Revija Podjetnik. Vse pravice pridržane. ISSN 1581-0909 Produkcija Kivi Com d.o.o. & Arctur d.o.o.,Vse pravice pridržane ISSN 1581-0909 Produkcija Kivi Com d.o.o. & Arctur d.o.o.
453,PODJETNIK OSEBNO,Podjetje je osebno
454,"Pravne osebe in zasebniki ter vsi drugi, ki so vpisani v poslovni register, morajo pri poslovanju z gotovino upoštevati Pravilnik o plačevanju z gotovino in blagajniškem maksimumu (UL 103/2002) ter Uredbo o pogojih, pod katerimi je treba plačila in prejemke davčnim zavezancem nakazovati na njihove račune pri bankah in hranilnicah (UL 59/1999). Pravna oseba lahko dviguje gotovino s transakcijskih računov za izplačila v gotovini in za ohranjanje višine blagajniškega maksimuma . Blagajniški maksimum je najvišja vrednost denarja, ki je lahko v blagajni. Vrednost se določi s sklepom. Na primer: »Podjetje ABC, d.o.o., je sprejelo sklep, da blagajniški maksimum znaša 200.000 tolarjev. Gotovino, ki presega teh 200.000 tolarjev blagajniškega maksimuma, ima lahko podjetje ABC, d.o.o., največ tri delovne dni, vključno z dnem dviga gotovine.« Zasebnik (s.p. ali drug) blagajniškega maksimuma ni dolžan določiti , saj lahko prosto dviguje gotovino s transakcijskega računa tudi za potrebe svojega gospodinjstva. Kdaj in kako plačevati z gotovino","Pravne osebe, fizične osebe in vse druge osebe, vpisane v poslovni register, morajo pri poslovanju z gotovino upoštevati Pravilnik o plačevanju z gotovino in znesek gotovinskega limita (UL 103 / 2002) ter Pravilnik o pogojih, pod katerimi je treba plačila in prejemke nakazovati davčnim zavezancem na njihove račune pri bankah in hranilnicah (UL 59 / 1999). Pravna oseba lahko dvigne gotovino s transakcijskih računov za gotovinska plačila in ohranja znesek gotovinskega maksimuma. Vrednost se določi s sklepom. Na primer: ""ABC, d.o.o., je sprejel sklep, da je najvišji znesek blagajnika 200.000 tolarjev). Gotovina nad tem najvišjim zneskom 200.000 tolarjev pri blagajni, podjetje ABC, d.o.o., ima lahko največ tri delovne dni, vključno z dnem dviga gotovine"" (o.p.) Zasebna oseba (ali druga oseba ne more prosto določiti najvišjega zneska gotovinskega računa, ker mora dvigniti gotovino iz svojega računa)."
455,"1. Pravna oseba lahko plačuje blago/storitve in druge obveznosti pravnim osebam v višini največ 100.000 SIT za posamezno izplačilo. Če ABC, d.o.o., izda račun za blago/storitve podjetju CBA, d.o.o., v višini 120.000 SIT, je podjetje CBA dolžno ta račun plačati prek transakcijskega računa. Če podjetje ABC izda podjetju CBA dva računa, vsakega v vrednosti 60.000 SIT, lahko ta računa poravna z gotovino.","Pravna oseba lahko plača blago / storitve in druge obveznosti do pravnih oseb v višini 100.000 SIT za vsako plačilo. Če podjetje ABC, d.o.o., izda račun za blago / storitve podjetju CBA, d.o.o. v višini 120.000 SIT, je podjetje dolžno plačati ta račun preko transakcijskega računa. Če podjetje ABC izda CBA dva računa v vrednosti 60.000 SIT, se lahko ti računi poravnajo v gotovini."
456,do 25.000 SIT,do 25.000 evrov
457,do 100.000 SIT,do največ 100.000
458,Ime:,Ime: Ime
459,Nazaj,Nazaj v ozadje
460,Prijavi,Prijava v storitev
461,Oglasi pokroviteljev,Sponzorski oglasi
462,kontakti,kontaktni podatki
463,PRIZNANJA,o priznanju
464,Ljudje,Ljudje so se
465,Podjetniške priložnosti,Podjetniške priložnosti
466,V teh primerih mora ZZZS povrniti delodajalcu stroške nadomestila plač od prvega delovnega dne dalje. Izplačevanje nadomestil za čas bolniške odsotnosti z dela glede na razlog in plačnika nadomestil:,"V teh primerih mora ZZZS delodajalcu povrniti stroške nadomestila plače, in sicer od prvega delovnega dne naprej."
467,ista bolezen ali poškodba,Ista bolezen ali poškodba
468,"v korist druge osebe, darovanje","v korist druge osebe, donacija"
469,Nazaj,Nazaj v ozadje
470,cenik - revija,Cena - časopis
471,oglaševanje,oglaševalske storitve
472,IZKUŠNJE USPEŠNIH,Uspešne izkušnje
473,BREZPLAČNI OGLASI,Brezplačne oglaševalske storitve
474,Išči po oglasih,Iskanje po oglasih
475,Predpisi v praksi,Predpisi v praksi
476,"Kot bralka Podjetnika se obračam na vas z vprašanjem glede izrabe letnega dopusta, in sicer za tisti del, ki ga je treba izrabiti v enem delu. Ker naj bi bil namen tega dela predpisa, da je človek skupaj 14 dni na dopustu, me zanima, ali je treba, če se med tem časom pojavi tudi dan ali dva praznika (na primer 24. 12. in 25. 12.) odsotnost podaljšati še za ustrezno število praznikov? Konkretno - ali je predpisom zadoščeno, če se dopust izrabi od 18. 12. 2003 do 31. 12. 2003? Pa še to: Če delavec tega noče/ne more izrabiti, ali je možno, da mu ta dopust propade in se torej ne more prenesti v naslednje leto? Najlepša hvala za odgovor! E. M.","Kot bralec Podjetnik, Rad bi vas vprašal o uporabi letnega dopusta, in sicer del, ki ga je treba uporabiti v enem delu. Ker je namen tega dela uredbe je, da je oseba na dopustu, za skupno 14 dni, Zanima me, ali je potrebno, če dan ali dva dopusta pojavi v tem času? (na primer, 24.12. in 25.12.. odsotnost je treba podaljšati za ustrezno število počitnic Konkretno - je zadovoljen? če se dopust uporablja od 18.12.2003 do 31.12.2003 In tudi to Če delavec noče / ne more uporabljati, je možno, da je ta praznik in zato propade? ni mogoče prenesti na naslednje leto? Najlepša hvala za vaš odgovor M. E."
477,Polja označena z * so obvezna. Dolžina posameznega komentarja je omejena na 1000 znakov,"Polja, označena z *, so obvezna. Dolžina posameznega komentarja je omejena na 1000 znakov"
478,"Avtor: Svetko Praštalo Vir: december, 2003",": Avtor Svetko Praštalo Vir: December, 2003"
479,Pišite nam,Kontaktirajte nas zdaj
480,zakaj v podjetniku?,Zakaj ravno podjetnik?
481,Ljudje,Ljudje so se
482,Urejeno podjetje,Regulirana gospodarska družba
483,KOMPAS,Kompas je lahko
484,BREZPLAČNI OGLASI,Brezplačne oglaševalske storitve
485,Iskalnik,iskalnik.
486,Brezplačna knjiga,Brezplačna knjiga →
487,predlogi,predlogi.
488,Marketing in prodaja,Trženje in prodaja
489,IZKUŠNJE USPEŠNIH,Uspešne izkušnje
490,Pregled po dejavnostih,Pregled po industriji
491,Temperatura v prostorih,Temperatura v prostorih
492,- Previsoko nameščen monitor - zgornja vrstica napisa na monitorju mora biti 5 cm pod vodoravno linijo oči uporabnika; viri svetlobe se ne smejo zrcaliti (odsev) v monitorju.,- Monitor previsok - zgornja vrstica nalepke zaslona mora biti 5 cm pod vodoravno črto uporabnikovega očesa; svetlobni viri se ne smejo zrcaliti (odsevati) na monitorju.
493,Datum objave:,: Datum objave
494,Polja označena z * so obvezna. Dolžina posameznega komentarja je omejena na 1000 znakov,"Polja, označena z *, so obvezna. Dolžina posameznega komentarja je omejena na 1000 znakov"
495,Domov,Dom za
496,Nazaj,Nazaj v ozadje
497,Oglasi pokroviteljev,Sponzorski oglasi
498,Urejeno podjetje,Regulirana gospodarska družba
499,Franšizing,franšizing za
500,PREDPISI V PRAKSI,Predpisi v praksi
501,KAJ PONUJA DRŽAVA,Kaj je država
502,Vsebina: *,: Vsebina *
503,Prijavi,Prijava v storitev
504,zakaj v podjetniku?,Zakaj ravno podjetnik?
505,MOJE PODJETJE,Moja poslovna podjetja
506,Urejeno podjetje,Regulirana gospodarska družba
507,MALE SKRIVNOSTI,Druge majhne skrivnosti
508,Oddaj brezplačni mali oglas,Pošljite nam brezplačni oglas
509,Zaslužek na napotnici,Zaslužek ob napotitvi
510,Zaslužek na napotnici,Zaslužek ob napotitvi
511,"V javnosti se je šušljajo o povišanju urnih postavk , kajti študentom se bo tekoči neto zaslužek zmanjšal zaradi plačevanja akontacije dohodnine. V študentskem servisu in agenciji za zaposlovanje Atama pravijo, da bo to dejstvo vsekakor vplivalo na povpraševanje študentov po prostih delih, saj bodo ti pred očmi imeli takojšen neto zaslužek, torej zaslužek po plačani akontaciji, s katerim bodo tudi pokrivali svoje življenjske in druge stroške. Tako pri Atami sklepajo, da bo posledica tega večje povpraševanje po delih z višjimi urnimi postavkami . Tako bodo pod pritiskom delodajalci glede višine urnih postavk pri slabše plačanih delih.","V javnosti so se pojavile govorice o povečanju urnih plač, saj se bo trenutni neto zaslužek študentov zmanjšal zaradi plačila dohodnine. Študentska služba in agencija za zaposlovanje Atama pravita, da bo to dejstvo zagotovo vplivalo na povpraševanje po brezplačnem delu študentov, saj bodo imeli takojšen neto zaslužek, to je, zaslužek po plačanem predplačilu, s katerim bodo pokrili tudi svoje življenjske in druge stroške. Tako, Ata ugotavlja, da bo to povzročilo povečano povpraševanje po delih z višjimi urnimi postavkami. Tako, Delodajalci bodo pod pritiskom glede zneska urne plače za slabo plačano delo."
512,"Ali lahko študenta štipendiram? Seveda, vendar je treba upoštevati 99. člen novega Zakona o dohodnini, ki pravi, da se v davčno osnovo od drugih dohodkov ne všteva kadrovska štipendija in druga štipendija, izplačana mesečno štipendistu za študij v Sloveniji do višine minimalne plače, za študij v tujini pa do višine minimalne plače, povečane za 60 %. Pri določanju višine minimalne plače se upošteva minimalna plača, kot je določena z zakonom, ki ureja minimalno plačo. Če pa štipendija presega navedeni znesek, se všteva v davčno osnovo v višini, ki presega določen znesek.","Seveda, vendar pa je potrebno upoštevati 99. člen novega Zakona o dohodnini, ki določa, da davčna osnova iz drugih dohodkov ne vključuje kadrovske štipendije in drugih štipendij, ki se izplačujejo mesečnemu štipendistu za študij v Sloveniji do višine minimalne plače, za študij v tujini pa do višine minimalne plače, povečane za 60%. Pri določanju višine minimalne plače se upošteva minimalna plača, kot jo določa zakon, ki ureja minimalno plačo. Če štipendija presega navedeni znesek, se vključi v davčno osnovo v znesku, ki presega določen znesek"
513,"Komentarjev ne cenzuriramo, samo v skrajnih primerih, ko gre za spodbujanje nestrpnosti, navajanje h kriminalnim dejanjem ipd. Za mnenja ne odgovarjamo.","Komentarjev ne cenzuriramo, le v skrajnih primerih, ko gre za spodbujanje nestrpnosti, navajanje na kazniva dejanja itd. Za mnenja nismo odgovorni."
514,Revija podjetnik,Revija Podjetnik /
515,Ogledalo državi,Ogledalo države ogledalo
516,Išči po oglasih,Iskanje po oglasih
517,Servisna stran,Servisna stran
518,Predpisi v praksi,Predpisi v praksi
